Belize City,Philip S. W. Goldson International Airport,BZE,17.5360677,-88.3077692
Belo Horizonte,Tancredo Neves International Airport,CNF,-19.634099,-43.965396
Belém,Val de Cães International Airport,BEL,-1.3820615,-48.4775227
Benghazi,Benina International Airport,BEN,32.0836981,20.261859
Bergamo,Orio al Serio Airport,BGY,45.6695707,9.7036313
Bergen,Bergen Airport,BGO,60.29183,5.2220173
Bergerac,Bergerac-Roumanière Airport,EGC,44.8240252,0.5186379
Berlin,Berlin Brandenburg Airport (Future),BER,52.3655663,13.5112218
Berlin,Berlin Schönefeld Airport,SXF,52.3733153,13.5064497
Berlin,Berlin Tegel Airport,TXL,52.5588327,13.2884374
Bern,Bern-Belp Airport,BRN,46.912222,7.499167
Bhopal,Raja Bhoj International Airport,BHO,23.2907897,77.3356595
Bhubaneswar,Biju Patnaik International Airport,BBI,20.2506772,85.8145311
Biarritz,Biarritz Airport,BIQ,43.4675341,-1.5268994
Bicol Region,Bicol International Airport,none,13.1140459,123.6791142
Billund,Billund Airport,BLL,55.7408067,9.1525999
Birjand,Birjand International Airport,XBJ,32.8894216,59.28961
Birmingham,Birmingham International Airport,BHX,33.5624269,-86.754126
Birmingham,Birmingham-Shuttlesworth International Airport,BHM,33.5624269,-86.754126
Bishkek,Manas Airport,FRU,43.0542394,74.4695079
Bissau,Osvaldo Vieira International Airport,OXB,11.8822716,-15.6559158
Blagoveshchensk,Ignatyevo Airport,BQS,50.4221882,127.4074684
Blantyre,Chileka International Airport,BLZ,-15.6813258,34.971707
Bluefields,Bluefields Airport,BEF,11.991944,-83.7724999
Boa Vista,Aristides Pereira International Airport,BVC,16.1354117,-22.8923338
Boa Vista,Boa Vista International Airport,BVB,2.8419238,-60.6925903
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY,11.160496,-4.329764
Bocas Town,Bocas del Toro "Isla Colón" International Airport,BOC,9.3405048,-82.2442941
Bodrum,Milas-Bodrum Airport,BJV,37.248656,27.6639925
Bodø,Bodø Airport,BOO,67.2683099,14.362237
Bogotá,El Dorado International Airport,BOG,4.7014128,-74.1444969
Bologna,Bologna Airport,BLQ,44.5345216,11.2878593
Bordeaux,Mérignac Airport,BOD,44.8305935,-0.7103052
Bosaso,Bosaso Airport,BSA,11.2789519,49.1502065
Boston,Logan International Airport,BOS,42.3656132,-71.0095602
Bournemouth,Bournemouth Airport,BOH,50.7815655,-1.8404302
Brades,John A. Osborne Airport,MNI,16.7914299,-62.193331
Brasília,Brasília International Airport,BSB,-15.8697369,-47.9172348
Bratislava,M. R. Štefánik Airport,BTS,48.1702634,17.2105238
Bratsk,Bratsk Airport,BTK,56.3649769,101.7032396
Brazzaville,Maya-Maya Airport,BZV,-4.250653,15.2575148
Bremen,Bremen Airport,BRE,53.0479714,8.7858736
Brescia,Brescia Airport,VBS,45.4257147,10.3265799
Brest,Brest Bretagne Airport,BES,48.4476378,-4.4178324
Brindisi,Brindisi Airport,BDS,40.6567625,17.9453492
Brisbane,Brisbane Airport,BNE,-27.3942144,153.1218303
Bristol,Bristol Airport,BRS,51.3836304,-2.7135463
Brno,Brno-Tuřany Airport,BRQ,49.1522313,16.6933509
Brussels,Brussels Airport,BRU,50.900999,4.4855744
Brussels,Brussels South Charleroi Airport,CRL,50.4625374,4.4588213
Bryansk,Bryansk International Airport,BZK,53.2134973,34.1827316
Bubaque,Bubaque Airport,BQE,11.8822716,-15.6559158
Bucaramanga,Palonegro International Airport,BGA,7.1280895,-73.1812714
Bucharest,Henri Coanda International Airport,OTP,44.5707306,26.0844123
Budapest,Budapest Ferenc Liszt International Airport,BUD,47.4384587,19.2522958
Buenos Aires,Aeroparque Jorge Newbery,AEP,-34.5580305,-58.4170088
Buenos Aires,Ministro Pistarini International Airport,EZE,-34.8150044,-58.5348284
Buffalo,Buffalo Niagara International Airport,BUF,42.9397059,-78.7295067
Bujumbura,Bujumbura International Airport,BJM,-3.3185781,29.3210023
Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,null,
Burgas,Burgas Airport,BOJ,42.5652706,27.5160873
Bursa,Yenişehir Airport,YEI,40.254596,29.5568343
Busan,Gimhae International Airport,PUS,35.17322,128.9464591
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG,53.0979509,17.9726813
Béziers,Béziers Cap d'Agde Airport,BZR,43.322513,3.3554379
Cagayan,Cagayan Special Economic Zone,Cagayan North International Airport,18.446356,122.1367713
Cagliari,Cagliari Airport,CAG,39.2513457,9.0559675
Cairns,Cairns Airport,CNS,-16.8777626,145.7499352
Cairo,Cairo International Airport,CAI,30.1127092,31.3998558
Calabar,Margaret Ekpo International Airport,CBQ,null,
Calgary,Calgary International Airport,YYC,51.1215031,-114.0076156
Cali,Alfonso Bonilla Aragon International Airport,CLO,3.5439613,-76.3840645
Camagüey,Ignacio Agramonte International Airport,CMW,21.4247279,-77.8451568
Campinas,Viracopos International Airport,VCP,-23.008205,-47.1375685
Campo Grande,Campo Grande International Airport,CGR,-20.4686937,-54.6741233
Can Tho,Can Tho International Airport,VCA,10.0804831,105.7121776
Canberra,Canberra Airport,CBR,-35.3052327,149.1933934
Cancún,Cancun International Airport,CUN,21.0403409,-86.873564
Canouan,Canouan Airport,CIW,12.6991667,-61.3425
Cap-Haïtien,Hugo Chávez International Airport,CAP,19.7332231,-72.1943468
Cape Town,Cape Town International Airport,CPT,-33.971463,18.6020851
Caracas,Simón Bolívar International Airport,CCS,10.5972583,-67.0053373
Carcassonne,Salvaza Airport,CCF,43.2157514,2.3061711
Cardiff,Cardiff Airport,CWL,51.3981929,-3.3454569
