ID,Name,Lat,Lon,Country
4030,Shar,49.60031740220,81.05493851620,137
4031,Urzhar,47.10018576970,81.60482743220,137
4032,Sarqan,45.42033998520,79.91490474340,137
4033,Ushtobe,45.26533652660,77.96995886120,137
4034,Shonzhy,43.54208253890,79.47028071990,137
4035,Qapshaghay,43.88438722640,77.06872188200,137
4036,Otar,43.53458945620,75.21389969780,137
4037,Qomsheh,32.01149436340,51.85971797570,129
4038,Kashan,33.98041811020,51.57999344770,129
4039,Khomeini Shahr,32.70041872050,51.46997432330,129
4040,Fasa,28.97183493960,53.67149369180,129
4081,Shu,43.59525758780,73.74484208060,137
4041,Gonbad-e Kavus,37.25182049460,55.17145381550,129
4042,Gorgan,36.83034751290,54.48002315150,129
4043,Amol,36.47132549950,52.36330480840,129
4044,Sari,36.55039044090,53.10000402710,129
4045,Semnan,35.55479229640,53.37430252970,129
4046,Karaj,35.80035870260,50.97000484090,129
4047,Behbehan,30.58181418760,50.26146927780,129
4048,Dezful,32.38038657530,48.47000239950,129
4049,Khorramabad,33.48042278950,48.35000972370,129
4050,Ilam,33.63041363430,46.43002355830,129
4051,As Samawah,31.30985760400,45.28027461630,147
4052,An Nasiriyah,31.04294883120,46.26755285520,147
4053,Al Amarah,31.84160809230,47.15116817100,147
4054,Al Kut,32.49071575830,45.83037023800,147
4055,Saveh,35.02182741190,50.33143916710,129
4056,Arak,34.08041200670,49.70000484090,129
4057,Fort Shevchenko,44.51706178700,50.26663692100,137
4058,Zhangaozen,43.30039186510,52.80002233770,137
4059,Mahabad,36.77037701320,45.72004105510,129
4060,Khvoy,38.53039878240,44.97000931680,129
4061,Maragheh,37.42038901680,46.22001053750,129
4062,Qasr-e Shirin,34.51237530420,45.57720739620,129
4063,Bijar,35.87407513330,47.59367346070,129
4064,As Sulaymaniyah,35.56127768860,45.43085974000,147
4065,Baqubah,33.74764162090,44.65726354860,147
4066,Yazdan,33.50649354960,60.89379186890,129
4067,Torbat-e Jam,35.22333965970,60.61287878300,129
4068,Quchan,37.11182903960,58.50148311240,129
4069,Chabahar,25.30040529280,60.62993200570,129
4070,Abohar,30.12042116190,74.29002844130,127
4071,Patiala,30.32040895490,76.38499100640,127
4072,Bhilwara,25.35042807920,74.63502030320,127
4073,Pali,25.79037538550,73.32993200570,127
4074,Tonk,26.15045676570,75.79004024140,127
4075,Sikar,27.61039349260,75.14000239960,127
4076,Bikaner,28.03039369610,73.32993200570,127
4077,Bharatpur,27.25036378890,77.50001338590,127
4078,Alwar,27.54535870260,76.60492590220,127
4079,Arys,42.43687868150,68.80483353560,137
4080,Burylbaytal,44.93874147450,74.03025101610,137
7337,Waitangi,-44.02625335966,-176.36957872138,153
4082,Qulan,42.92036338200,72.70495723360,137
4083,Oytal,42.91529909170,73.25489782600,137
4084,Qaratau,43.18538596500,70.45997798550,137
4085,Fatehpur,25.88036989240,80.80001867570,127
4086,Faizabad,26.75039430640,82.17001257220,127
4087,Bahraich,27.62041872050,81.66993973690,127
4088,Mirzapur,25.14537599590,82.56998815810,127
4089,Jhansi,25.45295412090,78.55746821990,127
4090,Shahjahanpur,27.88037701310,79.90503454480,127
4091,Rampur,28.81535870260,79.02498490290,127
4092,Bareilly,28.34538738910,79.41999955130,127
4093,Etawah,26.78545676570,79.01495967500,127
4094,Dehra Dun,30.32040895490,78.05000565480,127
4095,Haora,22.58039044090,88.32994665420,127
4096,Alipur Duar,26.48374391580,89.56666703180,127
4097,Haldia,22.02566977840,88.05833532610,127
4098,Bhatpara,22.85042563780,88.52001257220,127
4099,Medinipur,22.33040569960,87.15001867570,127
4100,Siliguri,26.72042197570,88.45500362040,127
4101,Purnia,25.78541444800,87.47997269590,127
4102,Muzaffarpur,26.12043275860,85.37994584040,127
4103,Aurangabad,24.77041180320,84.38000687560,127
4104,Bilaspur,22.09042034810,82.15998734430,127
4105,Burhanpur,21.30039105120,76.13001948940,127
4106,Ujjain,23.19040488590,75.79004024140,127
4107,Ratlam,23.35039512020,75.02998327530,127
4108,Sagar,23.85039044090,78.75001460660,127
4109,Vellore,12.92038576150,79.15004186900,127
4110,Tiruvannamalai,12.26037436820,79.09996740610,127
4111,Rajapalaiyam,9.42039267877,77.58000850310,127
4112,Cuddalore,11.72040732720,79.77000402720,127
4113,Karur,10.95037680960,78.08333695370,127
4114,Kanchipuram,12.83372438450,79.71667394910,127
4115,Tirunelveli,8.73040895480,77.68997595100,127
4116,Nagercoil,8.18036500949,77.42999182020,127
4117,Thanjavur,10.77041363420,79.15004186900,127
4118,Kumbakonam,10.98047833140,79.40000077200,127
4119,Valparai,10.32041526180,76.96996821990,127
7338,Atafu,-8.54861815564,-172.49766542802,153
4120,Tiruppur,11.08042055150,77.32999792370,127
4121,Daman,20.41700827940,72.85001297900,127
4122,Navsari,20.85039267880,72.92003454480,127
4123,Bhuj,23.25037538550,69.80999182020,127
4124,Bhavnagar,21.77842388810,72.12995357150,127
4125,Gandhinagar,23.30039817200,72.63994828180,127
4126,Itanagar,27.10039878240,93.61660070700,127
4127,Aizawl,23.71039898580,92.72001460670,127
4128,Agartala,23.83540427550,91.27999914450,127
4129,Owando,-0.47962319042,15.91999955110,72
4130,Makoua,-0.00957436229,15.64001664090,72
4131,Sibiti,-3.68960813509,13.35002722030,72
4132,Mossendjo,-2.93962807324,12.71998815780,72
4133,Loubomo,-4.17960406608,12.67001704780,72
4134,Gamboma,-1.87948606477,15.85002966170,72
4135,Djambala,-2.53960081087,14.74999344750,72
4136,Svendborg,55.07042278960,10.61665401070,142
4137,Odense,55.40037680980,10.38333491890,142
4138,Esbjerg,55.46703940750,8.45001623397,142
4139,Frederikshavn,57.43368939120,10.53329992540,142
4140,Aalborg,57.03371380530,9.91659338241,142
4141,Ferkessédougou,9.60040753065,-5.20002913555,141
4142,Kérouané,9.27037599582,-9.01997684878,61
4143,Siguiri,11.41709250790,-9.16663456363,61
4144,Mamou,10.38038576150,-12.10002140450,61
4145,Kamsar,10.68540590310,-14.60501062160,61
4146,Fria,10.38038576150,-13.54998457990,61
4147,Odienné,9.51041302382,-7.58001306297,141
4148,Macenta,8.55036826470,-9.48000044904,61
4149,Yomou,7.57042807915,-9.26998742821,61
4150,Faranah,10.04040651340,-10.75000044900,61
4151,Kissidougou,9.19045839328,-10.12001306300,61
4152,Man,7.40041261691,-7.54998905581,141
4153,Séguéla,7.95040488579,-6.67001692852,141
4154,Gagnoa,6.15041139620,-5.87998763165,141
4155,Soubré,5.79040753064,-6.61002059063,141
4156,San-Pedro,4.77041811006,-6.63996708315,141
4157,Sassandra,4.95038128552,-6.08328271628,141
4158,Bondoukou,8.03042584119,-2.80002059062,141
4159,Agboville,5.94034669893,-4.28003361146,141
4160,Dimbokro,6.65045839327,-4.71000736634,141
4161,Grand Bassam,5.20039186495,-3.74998844544,141
4162,Dabou,5.32035870251,-4.38994938294,141
4163,Guiglo,6.55046449679,-7.48996687970,141
4164,Abengourou,6.73037599581,-3.49000431458,141
4165,Ar Rutbah,33.03846010240,40.28445552450,147
4166,Al Fallujah,33.34766603500,43.77726558310,147
